rank,units_in_stock,retail_price,stock_value_usd,title,handle,product_type,photos_needed,admin_url
1,379,39.0,14781,"Men's Boxer Brief 3-Pack","men-s-boxer-brief-3-pack","MEN >> ACCESSORIES","YES","https://admin.shopify.com/store/30e7d3/products?query=men-s-boxer-brief-3-pack"
2,85,138.0,11730,"Eugene Puffer Coat","eugene-puffer-coat","MEN >> COAT","YES","https://admin.shopify.com/store/30e7d3/products?query=eugene-puffer-coat"
3,75,114.0,8550,"Mens Jeans BR","mens-jeans-br","MEN >> JEANS","YES","https://admin.shopify.com/store/30e7d3/products?query=mens-jeans-br"
4,108,78.0,8424,"Dani Heels","dani-heels","WOMEN >> SHOES","YES","https://admin.shopify.com/store/30e7d3/products?query=dani-heels"
5,74,95.0,7030,"Vick Jeans","vick-jeans","MEN >> JEANS","YES","https://admin.shopify.com/store/30e7d3/products?query=vick-jeans"
6,57,108.0,6156,"Cory Jeans","cory-jeans","MEN >> JEANS","YES","https://admin.shopify.com/store/30e7d3/products?query=cory-jeans"
7,96,64.0,6144,"No Risk Pants Set","no-risk-pants-set","MEN >> SWEATPANTS","YES","https://admin.shopify.com/store/30e7d3/products?query=no-risk-pants-set"
8,55,107.0,5885,"Ethan Jeans","ethan-jeans","MEN >> JEANS","YES","https://admin.shopify.com/store/30e7d3/products?query=ethan-jeans"
9,52,111.0,5772,"Ralph Jacket","ralph-jacket","MEN >> JACKET","YES","https://admin.shopify.com/store/30e7d3/products?query=ralph-jacket"
10,95,56.0,5320,"Fade Away T-Shirt","fade-away-t-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=fade-away-t-shirt"
11,48,92.0,4416,"Jay Jeans","jay-jeans","MEN >> JEANS","YES","https://admin.shopify.com/store/30e7d3/products?query=jay-jeans"
12,49,90.0,4410,"Mens Jeans AY","mens-jeans-ay","MEN >> JEANS","YES","https://admin.shopify.com/store/30e7d3/products?query=mens-jeans-ay"
13,52,78.0,4056,"String Heels","string-heels","WOMEN >> SHOES","YES","https://admin.shopify.com/store/30e7d3/products?query=string-heels"
14,48,78.0,3744,"Michelle Heels","michelle-heels","WOMEN >> SHOES","YES","https://admin.shopify.com/store/30e7d3/products?query=michelle-heels"
15,66,56.0,3696,"Target High T-Shirt","target-high-t-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=target-high-t-shirt"
16,65,56.0,3640,"Bert T-Shirt","bert-t-shirt","MEN >> T- SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=bert-t-shirt"
17,46,78.0,3588,"Erika Heels","erika-heels","WOMEN >> SHOES","YES","https://admin.shopify.com/store/30e7d3/products?query=erika-heels"
18,32,104.0,3328,"Milo Denim Jacket","milo-denim-jacket","MEN >> JACKET","YES","https://admin.shopify.com/store/30e7d3/products?query=milo-denim-jacket"
19,40,80.0,3200,"Kyle Cargo Pants","kyle-cargo-pants","MEN >> PANTS","YES","https://admin.shopify.com/store/30e7d3/products?query=kyle-cargo-pants"
20,28,114.0,3192,"Malin Jeans","malin-jeans","MEN >> JEANS","YES","https://admin.shopify.com/store/30e7d3/products?query=malin-jeans"
21,44,69.0,3036,"Rhodes Shirt","rhodes-shirt","MEN >> BUTTON SHIRT","YES","https://admin.shopify.com/store/30e7d3/products?query=rhodes-shirt"
22,35,84.0,2940,"Alfred Cargo Pants","alfred-cargo-pants","MEN >> PANTS","YES","https://admin.shopify.com/store/30e7d3/products?query=alfred-cargo-pants"
23,78,36.0,2808,"Bikini Bottom Set B","bikini-bottom-set-b","WOMEN >> SWIMSUIT","YES","https://admin.shopify.com/store/30e7d3/products?query=bikini-bottom-set-b"
24,52,53.0,2756,"Womens Short Jeans B","womens-short-jeans-b","WOMEN >> SHORTS","YES","https://admin.shopify.com/store/30e7d3/products?query=womens-short-jeans-b"
