product_title,product_handle,variants_total,variants_at_zero,pct_dead,units_left,price,admin_url
"Gift Card","gifted-product",1,1,100,0,0.00,"https://admin.shopify.com/store/30e7d3/products?query=gifted-product"
"Carbon Classic Tee","carbon-classic-tee",50,49,98,1,33.00,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Classic Industry T-Shirt","classic-industry-t-shirt",15,14,93,6,41.00,"https://admin.shopify.com/store/30e7d3/products?query=classic-industry-t-shirt"
"Fill In The Blank T-Shirt","fill-in-the-blank-t-shirt",15,14,93,10,41.00,"https://admin.shopify.com/store/30e7d3/products?query=fill-in-the-blank-t-shirt"
"My Rules T-Shirt","my-rules-t-shirt",15,14,93,2,41.00,"https://admin.shopify.com/store/30e7d3/products?query=my-rules-t-shirt"
"Faith In Yourself T-Shirt","faith-in-yourself-t-shirt",10,9,90,1,42.00,"https://admin.shopify.com/store/30e7d3/products?query=faith-in-yourself-t-shirt"
"Make It Happen T-Shirt","make-it-happen-t-shirt",10,9,90,1,44.00,"https://admin.shopify.com/store/30e7d3/products?query=make-it-happen-t-shirt"
"Simplify T-Shirt","simplify-t-shirt",8,7,88,4,66.00,"https://admin.shopify.com/store/30e7d3/products?query=simplify-t-shirt"
"Carbon Driven T-Shirt","carbon-driven-t-shirt",15,13,87,2,46.00,"https://admin.shopify.com/store/30e7d3/products?query=carbon-driven-t-shirt"
"Creed Jeans","creed-jeans",7,6,86,1,95.00,"https://admin.shopify.com/store/30e7d3/products?query=creed-jeans"
"Lewis Jeans","lewis-jeans",7,6,86,1,104.00,"https://admin.shopify.com/store/30e7d3/products?query=lewis-jeans"
"Simon Jeans","simon-jeans",7,6,86,7,98.00,"https://admin.shopify.com/store/30e7d3/products?query=simon-jeans"
"Amira Bodysuit","amira-bodysuit",6,5,83,1,42.00,"https://admin.shopify.com/store/30e7d3/products?query=amira-bodysuit"
"City View T-Shirt","city-view-t-shirt",15,12,80,4,39.00,"https://admin.shopify.com/store/30e7d3/products?query=city-view-t-shirt"
"Different T-Shirt","different-t-shirt",15,12,80,21,42.00,"https://admin.shopify.com/store/30e7d3/products?query=different-t-shirt"
"Heal The World T-Shirt","heal-the-world-t-shirt",15,12,80,15,40.00,"https://admin.shopify.com/store/30e7d3/products?query=heal-the-world-t-shirt"
"Choose Your Future T-Shirt","choose-your-future-t-shirt",10,8,80,7,44.00,"https://admin.shopify.com/store/30e7d3/products?query=choose-your-future-t-shirt"
"Don't Touch Me T-Shirt","don-t-touch-me-t-shirt",10,8,80,6,47.00,"https://admin.shopify.com/store/30e7d3/products?query=don-t-touch-me-t-shirt"
"Louie Shorts Set","louie-shorts-set",10,8,80,9,45.00,"https://admin.shopify.com/store/30e7d3/products?query=louie-shorts-set"
"Mind Power T-Shirt","mind-power-t-shirt",10,8,80,23,44.00,"https://admin.shopify.com/store/30e7d3/products?query=mind-power-t-shirt"
"Painted King T-Shirt","painted-king-t-shirt",10,8,80,2,41.00,"https://admin.shopify.com/store/30e7d3/products?query=painted-king-t-shirt"
"Tommy Shorts","tommy-shorts",10,8,80,5,48.00,"https://admin.shopify.com/store/30e7d3/products?query=tommy-shorts"
"Miami Shirt","miami-shirt",5,4,80,1,63.00,"https://admin.shopify.com/store/30e7d3/products?query=miami-shirt"
"Camel Flush Sneakers","camel-flush-sneakers",12,9,75,3,54.00,"https://admin.shopify.com/store/30e7d3/products?query=camel-flush-sneakers"
"Classic Sneakers","classic-sneakers",12,9,75,3,51.00,"https://admin.shopify.com/store/30e7d3/products?query=classic-sneakers"
"Brave And Wild Short Set","brave-and-wild-short-set",8,6,75,2,50.00,"https://admin.shopify.com/store/30e7d3/products?query=brave-and-wild-short-set"
"Survive T-Shirt","survive-t-shirt",8,6,75,5,52.00,"https://admin.shopify.com/store/30e7d3/products?query=survive-t-shirt"
"Archer Overall","archer-overall",4,3,75,1,105.00,"https://admin.shopify.com/store/30e7d3/products?query=archer-overall"
"Aubri Denim Jacket","aubri-denim-jacket",4,3,75,2,73.00,"https://admin.shopify.com/store/30e7d3/products?query=aubri-denim-jacket"
"Dream Shorts Set","dream-shorts-set",4,3,75,5,51.00,"https://admin.shopify.com/store/30e7d3/products?query=dream-shorts-set"
"Jack Pants","jack-pants",4,3,75,4,72.00,"https://admin.shopify.com/store/30e7d3/products?query=jack-pants"
"James Pants","james-pants",4,3,75,3,72.00,"https://admin.shopify.com/store/30e7d3/products?query=james-pants"
"Laney Bodysuit","laney-bodysuit",4,3,75,2,56.00,"https://admin.shopify.com/store/30e7d3/products?query=laney-bodysuit"
"Maddison Skirt","maddison-skirt",4,3,75,2,45.00,"https://admin.shopify.com/store/30e7d3/products?query=maddison-skirt"
"Ronald Pants","ronald-pants",4,3,75,1,86.00,"https://admin.shopify.com/store/30e7d3/products?query=ronald-pants"
"Startdust Denim Jacket","startdust-denim-jacket",4,3,75,1,91.00,"https://admin.shopify.com/store/30e7d3/products?query=startdust-denim-jacket"
"TV Shirt","tv-shirt",4,3,75,1,47.00,"https://admin.shopify.com/store/30e7d3/products?query=tv-shirt"
"Womens Long Denim Jeans H","womens-long-denim-jeans-h",4,3,75,1,77.00,"https://admin.shopify.com/store/30e7d3/products?query=womens-long-denim-jeans-h"
"Choose Carbon T-Shirt","choose-carbon-t-shirt",15,11,73,16,42.00,"https://admin.shopify.com/store/30e7d3/products?query=choose-carbon-t-shirt"
"Element T-Shirt","element-t-shirt",15,11,73,19,47.00,"https://admin.shopify.com/store/30e7d3/products?query=element-t-shirt"
"Shadow T-Shirt","shadow-t-shirt",15,11,73,22,41.00,"https://admin.shopify.com/store/30e7d3/products?query=shadow-t-shirt"
"Felix Jeans","felix-jeans",7,5,71,2,104.00,"https://admin.shopify.com/store/30e7d3/products?query=felix-jeans"
"Gleann","gleann",7,5,71,3,99.00,"https://admin.shopify.com/store/30e7d3/products?query=gleann"
"Hank Denim Shorts","hank-denim-shorts",7,5,71,12,58.00,"https://admin.shopify.com/store/30e7d3/products?query=hank-denim-shorts"
"Jogger Jeans","jogger-jeans",7,5,71,4,95.00,"https://admin.shopify.com/store/30e7d3/products?query=jogger-jeans"
"Juan Jeans","juan-jeans",7,5,71,8,98.00,"https://admin.shopify.com/store/30e7d3/products?query=juan-jeans"
"Jude Denim Shorts","jude-denim-shorts",7,5,71,3,63.00,"https://admin.shopify.com/store/30e7d3/products?query=jude-denim-shorts"
"Julian Jeans","julian-jeans",7,5,71,2,109.00,"https://admin.shopify.com/store/30e7d3/products?query=julian-jeans"
"Kaleb Jeans","kaleb-jeans",7,5,71,8,98.00,"https://admin.shopify.com/store/30e7d3/products?query=kaleb-jeans"
"Leon Jeans","leon-jeans",7,5,71,3,98.00,"https://admin.shopify.com/store/30e7d3/products?query=leon-jeans"
"Rye Jeans","rye-jeans",7,5,71,12,107.00,"https://admin.shopify.com/store/30e7d3/products?query=rye-jeans"
"Trent Denim Shorts","trent-denim-shorts",7,5,71,13,58.00,"https://admin.shopify.com/store/30e7d3/products?query=trent-denim-shorts"
"Teddyator T-Shirt","teddyator-t-shirt",10,7,70,14,41.00,"https://admin.shopify.com/store/30e7d3/products?query=teddyator-t-shirt"
"Nash Swimsuit","nash-swimsuit",15,10,67,29,39.00,"https://admin.shopify.com/store/30e7d3/products?query=nash-swimsuit"
"Logo Sneakers","logo-sneakers",12,8,67,7,57.00,"https://admin.shopify.com/store/30e7d3/products?query=logo-sneakers"
"Texture Top","texture-top",12,8,67,26,62.00,"https://admin.shopify.com/store/30e7d3/products?query=texture-top"
"Johnny Sneakers","johnny-sneakers",6,4,67,3,50.00,"https://admin.shopify.com/store/30e7d3/products?query=johnny-sneakers"
"Nia Knit Skirt","nia-knit-skirt",6,4,67,13,52.00,"https://admin.shopify.com/store/30e7d3/products?query=nia-knit-skirt"
"2 Pieces Rorri Dress","2-pieces-rorri-dress",3,2,67,4,83.00,"https://admin.shopify.com/store/30e7d3/products?query=2-pieces-rorri-dress"
"Arya Halter Mini Dress","arya-halter-mini-dress",3,2,67,4,81.00,"https://admin.shopify.com/store/30e7d3/products?query=arya-halter-mini-dress"
