product_title,product_handle,variant,sku,price,product_total_units,variants_total,variants_at_zero,pct_variants_dead,admin_url
"Gift Card","gifted-product","Default Title",,0.00,0,1,1,100,"https://admin.shopify.com/store/30e7d3/products?query=gifted-product"
"Carbon Classic Tee","carbon-classic-tee","TURQUOISE / S","C111212481201",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","TURQUOISE / M","C111212481202",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","TURQUOISE / L","C111212481203",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","TURQUOISE / XL","C111212481204",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","WHITE / S","C111212481101",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","WHITE / M","C111212481102",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","WHITE / L","C111212481103",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","WHITE / XL","C111212481104",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","WHITE / XXL","C111212481105",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","MELANGE / S","C111212484101",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","MELANGE / M","C111212484102",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","MELANGE / L","C111212484103",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","MELANGE / XL","C111212484104",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","MELANGE / XXL","C111212484105",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","BRONZE / S","C111212485601",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","BRONZE / M","C111212485602",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","BRONZE / L","C111212485603",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
"Carbon Classic Tee","carbon-classic-tee","BRONZE / XL","C111212485604",33.00,1,50,49,98,"https://admin.shopify.com/store/30e7d3/products?query=carbon-classic-tee"
