Asset ID,Serial#,Alt Serial,EpcId,Created,First Seen,Last Seen,Handheld Last Seen,Zone,Sub Zone Name,Static Zone,Static Zone Last Update,Location,Status,Sub Serial,Lot Number,Current Units,Storage Unit,Total Qty,Tag Attribute 1,Tag Attribute 2,Tag Attribute 3,Tag Attribute 4,Tag Attribute 5,Tag Attribute 6,Tag Attribute 7,Tag Attribute 8,Tag Attribute 9,Tag Attribute 10,Receiving Date,Updated,ALU,UPC,Sku,Custom Sku,Name,Short description,Type,Category,Manufacturer,Vendor id,Vendor name,Price,Retail price,MSRP,Style #,"","",Color,Size,Item Attribute 5,BIN#,Item Attribute 7,Item Attribute 8,Item Attribute 9,Item Attribute 10,Item Attribute 11,Sizes,Item Attribute 13,Item Attribute 14,Item Attribute 15,Item Attribute 16,Item Attribute 17,Item Attribute 18,Item Attribute 19,Item Attribute 20,Non-RFID
210000001206,1602,"",F0A0B30E4F9B8B6000000642,03/25/2024 04:43 AM,03/25/2024 04:43 AM,01/21/2026 08:25 AM,01/21/2026 08:25 AM,Inside,1A01L, ,,Inside 1A01L (HH),Live,0,"",1.0,1,2,"","","","","","","","","","",,03/25/2024 04:43 AM,,2531101,"",C125311010701,AVA MINI DRESS BLACK S,,"","Dress,Women",CARBON,,Carbon Jeans Company LLC,9.3,65,65,,,,BLACK,S,,,,,,,,"S,M,L",,,"",,,,,2531101,No
210000001206,9960,"",F0A0B30E4F9B8B60000026E8,02/22/2024 05:53 PM,11/03/2024 08:01 PM,01/21/2026 08:11 AM,01/21/2026 08:11 AM,Inside,1A01L, ,,Inside 1A01L (HH),Live,0,"",1.0,1,2,"","","","","","","","","","",,11/03/2024 08:07 PM,,2531101,"",C125311010701,AVA MINI DRESS BLACK S,,"","Dress,Women",CARBON,,Carbon Jeans Company LLC,9.3,65,65,,,,BLACK,S,,,,,,,,"S,M,L",,,"",,,,,2531101,No
210000001207,7802,"",F0A0B30E4F9B8B7000001E7A,01/21/2026 07:10 AM,01/21/2026 07:10 AM,01/21/2026 07:47 AM,01/21/2026 07:47 AM,Inside,1A01L, ,,Inside 1A01L (HH),Live,0,"",1.0,1,2,"","","","","","","","","","",,01/21/2026 07:10 AM,,2531101,"",C125311010702,AVA MINI DRESS BLACK M,,"","Dress,Women",CARBON,,Carbon Jeans Company LLC,9.3,65,65,,,,BLACK,M,,,,,,,,"S,M,L",,,"",,,,,2531101,No
210000001207,83481,"",F0A0B30E4F9B8B7000014619,01/15/2025 01:09 PM,,01/21/2026 08:27 AM,01/21/2026 08:27 AM,Inside,1A01L, ,,Inside 1A01L (HH),Live,0,"",1.0,1.0,2,,,,,,,"","","","",,01/15/2025 01:09 PM,,2531101,"",C125311010702,AVA MINI DRESS BLACK M,,"","Dress,Women",CARBON,,Carbon Jeans Company LLC,9.3,65,65,,,,BLACK,M,,,,,,,,"S,M,L",,,"",,,,,2531101,No
210000001208,5192,"",F0A0B30E4F9B8B8000001448,03/25/2024 04:43 AM,03/25/2024 04:43 AM,01/21/2026 08:27 AM,01/21/2026 08:27 AM,Inside,1A01L, ,,Inside 1A01L (HH),Live,0,"",1.0,1,4,"","","","","","","","","","",,03/25/2024 04:43 AM,,2531101,"",C125311010703,AVA MINI DRESS BLACK L,,"","Women,Dress",CARBON,,Carbon Jeans Company LLC,9.3,65,65,,,,BLACK,L,,,,,,,,"S,M,L",,,"",,,,,2531101,No
210000001208,6794,"",F0A0B30E4F9B8B8000001A8A,03/25/2024 04:43 AM,03/25/2024 04:43 AM,01/21/2026 08:11 AM,01/21/2026 08:11 AM,Inside,1A01L, ,,Inside 1A01L (HH),Live,0,"",1.0,1,4,"","","","","","","","","","",,03/25/2024 04:43 AM,,2531101,"",C125311010703,AVA MINI DRESS BLACK L,,"","Women,Dress",CARBON,,Carbon Jeans Company LLC,9.3,65,65,,,,BLACK,L,,,,,,,,"S,M,L",,,"",,,,,2531101,No
210000001208,7787,"",F0A0B30E4F9B8B8000001E6B,01/21/2026 05:32 PM,01/21/2026 05:32 PM,01/21/2026 03:55 PM,01/21/2026 03:55 PM,Inside,1A, ,,Inside 1A (HH),Live,0,"",1.0,1,4,"","","","","","","","","","",,01/21/2026 05:32 PM,,2531101,"",C125311010703,AVA MINI DRESS BLACK L,,"","Women,Dress",CARBON,,Carbon Jeans Company LLC,9.3,65,65,,,,BLACK,L,,,,,,,,"S,M,L",,,"",,,,,2531101,No
210000001208,9920,"",F0A0B30E4F9B8B80000026C0,03/25/2024 04:43 AM,03/25/2024 04:43 AM,01/21/2026 08:25 AM,01/21/2026 08:25 AM,Inside,1A01L, ,,Inside 1A01L (HH),Live,0,"",1.0,1,4,"","","","","","","","","","",,03/25/2024 04:43 AM,,2531101,"",C125311010703,AVA MINI DRESS BLACK L,,"","Women,Dress",CARBON,,Carbon Jeans Company LLC,9.3,65,65,,,,BLACK,L,,,,,,,,"S,M,L",,,"",,,,,2531101,No
210000001212,1715,"",F0A0B30E4F9B8BC0000006B3,03/25/2024 04:43 AM,03/25/2024 04:43 AM,01/21/2026 08:27 AM,01/21/2026 08:27 AM,Inside,1A01L, ,,Inside 1A01L (HH),Live,0,"",1.0,1,4,"","","","","","","","","","",,03/25/2024 04:43 AM,,2531103,"",C125311030201,SAPPHIRE TROPICS DRESS  BLUE S,,"","Dress,Women",CARBON,,Carbon Jeans Company LLC,11.5,81,81,,,,BLUE,S,,,,,,,,"S,M,L",,,"",,,,,2531103,No
210000001212,1719,"",F0A0B30E4F9B8BC0000006B7,03/25/2024 04:43 AM,03/25/2024 04:43 AM,01/21/2026 04:00 PM,01/21/2026 04:00 PM,Inside,1A, ,,Inside 1A (HH),Live,0,"",1.0,1,4,"","","","","","","","","","",,05/20/2024 10:45 AM,,2531103,"",C125311030201,SAPPHIRE TROPICS DRESS  BLUE S,,"","Dress,Women",CARBON,,Carbon Jeans Company LLC,11.5,81,81,,,,BLUE,S,,,,,,,,"S,M,L",,,"",,,,,2531103,No
210000001212,7145,"",F0A0B30E4F9B8BC000001BE9,03/25/2024 04:43 AM,03/25/2024 04:43 AM,01/21/2026 08:27 AM,01/21/2026 08:27 AM,Inside,1A01L, ,,Inside 1A01L (HH),Live,0,"",1.0,1,4,"","","","","","","","","","",,03/25/2024 04:43 AM,,2531103,"",C125311030201,SAPPHIRE TROPICS DRESS  BLUE S,,"","Dress,Women",CARBON,,Carbon Jeans Company LLC,11.5,81,81,,,,BLUE,S,,,,,,,,"S,M,L",,,"",,,,,2531103,No
210000001212,9977,"",F0A0B30E4F9B8BC0000026F9,03/25/2024 04:43 AM,03/25/2024 04:43 AM,01/21/2026 07:56 AM,01/21/2026 07:56 AM,Inside,1A01L, ,,Inside 1A01L (HH),Live,0,"",1.0,1,4,"","","","","","","","","","",,03/25/2024 04:43 AM,,2531103,"",C125311030201,SAPPHIRE TROPICS DRESS  BLUE S,,"","Dress,Women",CARBON,,Carbon Jeans Company LLC,11.5,81,81,,,,BLUE,S,,,,,,,,"S,M,L",,,"",,,,,2531103,No
210000001213,1448,"",F0A0B30E4F9B8BD0000005A8,01/04/2023 02:30 PM,01/04/2023 02:30 PM,01/21/2026 08:11 AM,01/21/2026 08:11 AM,Inside,1A01L, ,,Inside 1A01L (HH),Live,0,"",1.0,1,5,"","","","","","","","","","",,01/04/2023 02:30 PM,,2531103,"",C125311030202,SAPPHIRE TROPICS DRESS  BLUE M,,"","Dress,Women",CARBON,,Carbon Jeans Company LLC,11.5,81,81,,,,BLUE,M,,,,,,,,"S,M,L",,,"",,,,,2531103,No
210000001213,1769,"",F0A0B30E4F9B8BD0000006E9,03/25/2024 04:43 AM,03/25/2024 04:43 AM,01/21/2026 08:27 AM,01/21/2026 08:27 AM,Inside,1A01L, ,,Inside 1A01L (HH),Live,0,"",1.0,1,5,"","","","","","","","","","",,03/25/2024 04:43 AM,,2531103,"",C125311030202,SAPPHIRE TROPICS DRESS  BLUE M,,"","Dress,Women",CARBON,,Carbon Jeans Company LLC,11.5,81,81,,,,BLUE,M,,,,,,,,"S,M,L",,,"",,,,,2531103,No
210000001213,4730,"",F0A0B30E4F9B8BD00000127A,01/04/2023 02:30 PM,01/04/2023 02:30 PM,01/21/2026 04:01 PM,01/21/2026 04:01 PM,Inside,1A, ,,Inside 1A (HH),Live,0,"",1.0,1,5,"","","","","","","","","","",,01/04/2023 02:30 PM,,2531103,"",C125311030202,SAPPHIRE TROPICS DRESS  BLUE M,,"","Dress,Women",CARBON,,Carbon Jeans Company LLC,11.5,81,81,,,,BLUE,M,,,,,,,,"S,M,L",,,"",,,,,2531103,No
210000001213,7158,"",F0A0B30E4F9B8BD000001BF6,03/25/2024 04:43 AM,03/25/2024 04:43 AM,01/21/2026 08:05 AM,01/21/2026 08:05 AM,Inside,1A01L, ,,Inside 1A01L (HH),Live,0,"",1.0,1,5,"","","","","","","","","","",,03/25/2024 04:43 AM,,2531103,"",C125311030202,SAPPHIRE TROPICS DRESS  BLUE M,,"","Dress,Women",CARBON,,Carbon Jeans Company LLC,11.5,81,81,,,,BLUE,M,,,,,,,,"S,M,L",,,"",,,,,2531103,No
210000001213,9981,"",F0A0B30E4F9B8BD0000026FD,03/25/2024 04:43 AM,03/25/2024 04:43 AM,01/21/2026 07:52 AM,01/21/2026 07:52 AM,Inside,1A01L, ,,Inside 1A01L (HH),Live,0,"",1.0,1,5,"","","","","","","","","","",,03/25/2024 04:43 AM,,2531103,"",C125311030202,SAPPHIRE TROPICS DRESS  BLUE M,,"","Dress,Women",CARBON,,Carbon Jeans Company LLC,11.5,81,81,,,,BLUE,M,,,,,,,,"S,M,L",,,"",,,,,2531103,No
210000001214,1761,"",F0A0B30E4F9B8BE0000006E1,03/25/2024 04:43 AM,03/25/2024 04:43 AM,01/21/2026 08:27 AM,01/21/2026 08:27 AM,Inside,1A01L, ,,Inside 1A01L (HH),Live,0,"",1.0,1,6,"","","","","","","","","","",,03/25/2024 04:43 AM,,2531103,"",C125311030203,SAPPHIRE TROPICS DRESS  BLUE L,,"","Women,Dress",CARBON,,Carbon Jeans Company LLC,11.5,81,81,,,,BLUE,L,,,,,,,,"S,M,L",,,"",,,,,2531103,No
210000001214,4745,"",F0A0B30E4F9B8BE000001289,03/25/2024 04:43 AM,03/25/2024 04:43 AM,01/21/2026 07:53 AM,01/21/2026 07:53 AM,Inside,1A01L, ,,Inside 1A01L (HH),Live,0,"",1.0,1,6,"","","","","","","","","","",,03/25/2024 04:43 AM,,2531103,"",C125311030203,SAPPHIRE TROPICS DRESS  BLUE L,,"","Women,Dress",CARBON,,Carbon Jeans Company LLC,11.5,81,81,,,,BLUE,L,,,,,,,,"S,M,L",,,"",,,,,2531103,No
210000001214,7184,"",F0A0B30E4F9B8BE000001C10,03/25/2024 04:43 AM,03/25/2024 04:43 AM,01/21/2026 07:52 AM,01/21/2026 07:52 AM,Inside,1A01L, ,,Inside 1A01L (HH),Live,0,"",1.0,1,6,"","","","","","","","","","",,03/25/2024 04:43 AM,,2531103,"",C125311030203,SAPPHIRE TROPICS DRESS  BLUE L,,"","Women,Dress",CARBON,,Carbon Jeans Company LLC,11.5,81,81,,,,BLUE,L,,,,,,,,"S,M,L",,,"",,,,,2531103,No
210000001214,9967,"",F0A0B30E4F9B8BE0000026EF,01/04/2023 02:30 PM,01/04/2023 02:30 PM,01/21/2026 04:01 PM,01/21/2026 04:01 PM,Inside,1A, ,,Inside 1A (HH),Live,0,"",1.0,1,6,"","","","","","","","","","",,01/04/2023 02:30 PM,,2531103,"",C125311030203,SAPPHIRE TROPICS DRESS  BLUE L,,"","Women,Dress",CARBON,,Carbon Jeans Company LLC,11.5,81,81,,,,BLUE,L,,,,,,,,"S,M,L",,,"",,,,,2531103,No
210000001214,9999,"",F0A0B30E4F9B8BE00000270F,01/04/2023 02:30 PM,01/04/2023 02:30 PM,01/21/2026 08:05 AM,01/21/2026 08:05 AM,Inside,1A01L, ,,Inside 1A01L (HH),Live,0,"",1.0,1,6,"","","","","","","","","","",,01/04/2023 02:30 PM,,2531103,"",C125311030203,SAPPHIRE TROPICS DRESS  BLUE L,,"","Women,Dress",CARBON,,Carbon Jeans Company LLC,11.5,81,81,,,,BLUE,L,,,,,,,,"S,M,L",,,"",,,,,2531103,No
210000001214,76286,"",F0A0B30E4F9B8BE0000129FE,10/02/2023 11:33 AM,10/02/2023 11:33 AM,01/21/2026 04:01 PM,01/21/2026 04:01 PM,Inside,1A, ,,Inside 1A (HH),Live,0,"",1.0,1,6,"","","","","","","","","","",,10/02/2023 11:33 AM,,2531103,"",C125311030203,SAPPHIRE TROPICS DRESS  BLUE L,,"","Women,Dress",CARBON,,Carbon Jeans Company LLC,11.5,81,81,,,,BLUE,L,,,,,,,,"S,M,L",,,"",,,,,2531103,No
210000001224,4726,"",F0A0B30E4F9B8C8000001276,03/25/2024 04:43 AM,03/25/2024 04:43 AM,01/21/2026 04:00 PM,01/21/2026 04:00 PM,Inside,1A, ,,Inside 1A (HH),Live,0,"",1.0,1,2,"","","","","","","","","","",,07/19/2024 09:55 AM,,2531107,"",C125311070701,LEA FLORAL DRESS BLACK S,,"","Dress,Women",CARBON,,Carbon Jeans Company LLC,11.5,81,81,,,,BLACK,S,,,,,,,,"S,M,L",,,"",,,,,2531107,No
210000001224,9894,"",F0A0B30E4F9B8C80000026A6,03/25/2024 04:43 AM,03/25/2024 04:43 AM,01/21/2026 09:59 AM,01/21/2026 09:59 AM,Inside,1A01L, ,,Inside 1A01L (HH),Live,0,"",1.0,1,2,"","","","","","","","","","",,12/15/2024 06:19 PM,,2531107,"",C125311070701,LEA FLORAL DRESS BLACK S,,"","Dress,Women",CARBON,,Carbon Jeans Company LLC,11.5,81,81,,,,BLACK,S,,,,,,,,"S,M,L",,,"",,,,,2531107,No
210000001225,9891,"",F0A0B30E4F9B8C90000026A3,03/25/2024 04:43 AM,03/25/2024 04:43 AM,01/21/2026 04:01 PM,01/21/2026 04:01 PM,Inside,1A, ,,Inside 1A (HH),Live,0,"",1.0,1,2,"","","","","","","","","","",,11/27/2024 12:58 PM,,2531107,"",C125311070702,LEA FLORAL DRESS BLACK M,,"","Dress,Women",CARBON,,Carbon Jeans Company LLC,11.5,81,81,,,,BLACK,M,,,,,,,,"S,M,L",,,"",,,,,2531107,No
