reason,epc,sku,description,color,size,bin,no_catalog_match,killed_before_count,last_seen
DID NOT PASS - no catalog/formula match at scan time,000031630074416759298644,,,,,,yes,,06-05 04:26
DID NOT PASS - no catalog/formula match at scan time,000031636074312269760423,,,,,,yes,,05-30 17:18
DID NOT PASS - no catalog/formula match at scan time,000091607113912747400903,,,,,,yes,,05-30 17:30
DID NOT PASS - no catalog/formula match at scan time,1A1F3AFE6C59A42A8C605FE9,,,,,,yes,,05-30 17:34
DID NOT PASS - no catalog/formula match at scan time,1A1F3AFE6C59A45527986BA9,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,1A1F3AFE6C59A46E9C0E6824,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,1A2F3AFE6C59A41FF9AA71FF,,,,,,yes,,06-05 04:26
DID NOT PASS - no catalog/formula match at scan time,1A2F3AFE6C59A4740E5E5D9F,,,,,,yes,,09-02 14:38
DID NOT PASS - no catalog/formula match at scan time,1A4F3AFE6C59A405AD5279CB,,,,,,yes,,06-07 14:55
DID NOT PASS - no catalog/formula match at scan time,1A4F3AFE6C59A43F1FCA779E,,,,,,yes,,05-30 17:40
DID NOT PASS - no catalog/formula match at scan time,1A5180AE8299A64B3F345F6D,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,1A5F3AFE6C59A45153E24FA1,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,1A6F3AFE6C59A45F1D9474D1,,,,,,yes,,06-05 04:26
DID NOT PASS - no catalog/formula match at scan time,1A6F3AFE6C59A46D19506F16,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,1A7F3AFE6C59A41A22F60785,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,1A7F3AFE6C59A425B632717D,,,,,,yes,,05-30 17:14
DID NOT PASS - no catalog/formula match at scan time,1A7F3AFE6C59A433EF0452F8,,,,,,yes,,06-05 04:26
DID NOT PASS - no catalog/formula match at scan time,1A7F3AFE6C59A433EF045E32,,,,,,yes,,05-30 17:13
DID NOT PASS - no catalog/formula match at scan time,1A8180AE8299A6230F707707,,,,,,yes,,05-30 17:15
DID NOT PASS - no catalog/formula match at scan time,1A8180AE8299A65742306BD4,,,,,,yes,,06-07 14:55
DID NOT PASS - no catalog/formula match at scan time,1BF11190C668989461943895,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,30129CBFD880004000002692,,,,,,yes,,06-05 04:26
DID NOT PASS - no catalog/formula match at scan time,303404C6C420082382526041,,,,,,yes,,06-07 14:55
DID NOT PASS - no catalog/formula match at scan time,C11171067023318606927812,,,,,,yes,,06-05 04:26
DID NOT PASS - no catalog/formula match at scan time,C12611602113914464426704,,,,,,yes,,06-05 04:26
DID NOT PASS - no catalog/formula match at scan time,C21631634E84517625094453,,,,,,yes,,05-30 17:13
DID NOT PASS - no catalog/formula match at scan time,C21701633013812622353533,,,,,,yes,,05-30 17:13
DID NOT PASS - no catalog/formula match at scan time,C21701633014011344493303,,,,,,yes,,06-07 14:55
DID NOT PASS - no catalog/formula match at scan time,C21701633014210352671853,,,,,,yes,,05-30 17:14
DID NOT PASS - no catalog/formula match at scan time,C21701633014310843070913,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,C21701633014410606517706,,,,,,yes,,05-30 17:13
DID NOT PASS - no catalog/formula match at scan time,C21701633014418150840724,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,C21701633073611486873132,,,,,,yes,,06-07 14:55
DID NOT PASS - no catalog/formula match at scan time,C21701633074011281407026,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,C21701633074016935410295,,,,,,yes,,06-07 14:55
DID NOT PASS - no catalog/formula match at scan time,C21701633074118474879399,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,C21701633113619037590987,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,C21701633483715127533733,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,C21701633484313401631339,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,C21701633484317817969792,,,,,,yes,,05-30 17:13
DID NOT PASS - no catalog/formula match at scan time,E2801191A5040077F48F2C05,,,,,,yes,,06-01 14:19
DID NOT PASS - no catalog/formula match at scan time,E28068940000401ABAB1956D,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,E280689400005019E761ED3C,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,E280689400005019E761ED41,,,,,,yes,,05-30 17:15
DID NOT PASS - no catalog/formula match at scan time,E28068940000501ABAB1916D,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,F0A021531113812183862443,,,,,,yes,,06-07 14:55
DID NOT PASS - no catalog/formula match at scan time,F0A071080113317875327698,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,F0A071213020214956716404,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,F0A071325C20118172817475,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,F0A0B00001127DB000018768,,,,,,yes,,09-02 17:06
DID NOT PASS - no catalog/formula match at scan time,F0A0B00001127DB00001895A,,,,,,yes,,06-07 14:55
DID NOT PASS - no catalog/formula match at scan time,F0A0B00001127DB00001895B,,,,,,yes,,06-07 14:55
DID NOT PASS - no catalog/formula match at scan time,F0A0B000011283F00001894F,,,,,,yes,,06-05 04:26
DID NOT PASS - no catalog/formula match at scan time,F0A0B000011283F000018953,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E0000112146494514,,,,,,yes,,09-02 17:06
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E0000112755676232,,,,,,yes,,09-02 17:06
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E0000112883933481,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E0000118458376183,,,,,,yes,,09-02 17:06
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E0113011354321246,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E0C73013501433486,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E1071114812811393,,,,,,yes,,09-02 17:06
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E1B13810731743254,,,,,,yes,,05-30 17:15
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E1B74216306511274,,,,,,yes,,06-05 04:26
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E1C23413517755801,,,,,,yes,,09-02 17:06
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E2023113569773509,,,,,,yes,,09-02 17:06
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E2100212521276886,,,,,,yes,,05-30 17:13
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E2113713547809171,,,,,,yes,,06-07 14:55
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E2B70210038960008,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E3014010971513209,,,,,,yes,,09-02 17:06
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E3020115060432292,,,,,,yes,,05-30 17:13
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E3073914089851087,,,,,,yes,,09-02 17:06
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E4113812503165680,,,,,,yes,,09-02 17:06
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E4F9B019664954278,,,,,,yes,,09-02 17:06
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E4F9B111242420291,,,,,,yes,,09-02 17:06
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E4F9B112270433633,,,,,,yes,,06-07 14:55
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E4F9B116459907465,,,,,,yes,,05-30 17:17
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E4F9B118680408182,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E4F9B118811706668,,,,,,yes,,05-30 17:14
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E4F9B210234790028,,,,,,yes,,09-02 17:06
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E4F9B212669540796,,,,,,yes,,09-02 17:06
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E4F9B216404882046,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E4F9B216521838821,,,,,,yes,,05-30 17:12
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E4F9B316884253149,,,,,,yes,,09-02 17:06
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E4F9B317268162693,,,,,,yes,,09-02 17:06
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E4F9B410149262987,,,,,,yes,,06-07 14:55
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E4F9B414310566397,,,,,,yes,,09-02 17:06
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E4F9B510473977087,,,,,,yes,,06-05 04:26
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E4F9B512891088318,,,,,,yes,,06-05 04:26
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E4F9B812365667044,,,,,,yes,,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9B8F7000012FCB,C126319505711,NECKLACE A,GOLD,11,,no,2026-09-02 18:23,09-02 17:12
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9B929000013570,C12541701D101,DULCE TYE-DIE BODYSUIT,TIE-DIE BLUE,S,5B04C,no,2026-08-20 21:50,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9B9D30000E38AE,C11171071C234,JAY JEANS,BLUE WASHED,34,,no,2026-09-02 18:23,09-02 17:12
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9BA31000001F55,C111710832632,STONE JEANS,DARK GREY,32,2E04R,no,2026-09-01 20:08,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9BB55000001408,C12581710A801,LANEY BODYSUIT,NUDE,S,5B01C,no,2026-09-02 18:30,09-02 17:06
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E4F9BB9D000000760,,,,,,yes,,06-07 14:55
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E4F9BB9D000000768,,,,,,yes,,05-30 17:13
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E4F9BB9D000001397,,,,,,yes,,06-05 04:26
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E4F9BB9D000002667,,,,,,yes,,06-05 04:26
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9BC08000001A7D,C125215300742,MADDISON SKIRT,BLACK,42,,no,2026-05-29 02:46,09-02 14:41
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9BC5900000138B,C125110060236,KIRA JEANS,BLUE,36,,no,2026-06-02 18:09,09-02 14:35
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9BCB00000022A5,C111212421104,RYAN POLO SHIRT,WHITE,XL,1A04C,no,2026-09-01 19:51,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9BEF9000000D52,C111214401105,PAINTED KING T-SHIRT,WHITE,XXL,3B01C,no,2026-08-21 22:20,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9C251000000570,C217016331144,SUMMER FLIP FLOPS,WHITE,44,,no,2026-07-26 02:32,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9C2680000F2AD1,C319824511006,FASHION HOODIE AA,YELLOW,XXXL,,no,2026-06-01 14:58,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9C55F000018A60,212212179L,RIKI DRESS,BLACK / WHITE,L,4B02R,no,2026-06-02 09:45,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9C56900001892B,212212611M,ISABEL DRESS,WHITE,M,4B01R,no,2026-09-02 18:23,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9C5870000188D5,212271933M,ROSE ROMPER,COLORFUL,M,4A04R,no,2026-09-02 18:28,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9C6C8000018CC4,2122402F708,ONE SHOULDER SWEATSHIRT,CLAY,08,5E02L,no,2026-09-02 18:29,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9C738000018AEF,112221711XL,SMILE TANK TOP,WHITE,XL,6C04C,no,2026-06-02 18:09,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9C7BB000013207,112220511XXL,STRINGER PRIDE TANK TOP,WHITE,XXL,6A05R,no,2026-09-02 18:30,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9C853000014596,122223011L,GORDON HOODIE SET,WHITE,L,3H03C,no,2026-06-02 09:45,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9C932000013D86,12220740736,PAUL JEANS,BLACK,36,2F01L,no,2026-09-02 18:28,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9CA1B000013417,112220507XXXL,STRINGER PRIDE TANK TOP,BLACK,XXXL,6A05C,no,2026-05-26 07:49,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9CB1C00001A00F,122220711XXXL,KEEP ON RISING SHIRT,WHITE,XXXL,,no,2026-05-26 08:54,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9CB630000188F4,2222349B7S,THE WHO TOP,TEAL,S,,no,2026-09-02 18:28,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9CB690000189A3,222241519M,ADRIANA SWEATER,WHITE,M,5E04R,no,2026-09-02 18:28,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9CB900000186CF,222245411S,GOLDIE TOP,WHITE,S,5E04L,no,2026-09-02 18:28,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9CBE2000018A5F,222211107L,BAILEY DRESS,BLACK,L,4D01L,no,2026-09-01 19:56,09-02 17:12
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9CC61000018B53,222235011L,ARI TOP,WHITE,L,,no,2026-09-02 18:28,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9CC9C00001881D,1123304C733,WAYLON DENIM SHORTS,BLACK WASHED,33,,no,2026-09-01 20:07,09-02 17:06
DID NOT PASS - no catalog/formula match at scan time,F0A0B30E4F9CFCD000013998,,,,,,yes,,06-07 14:55
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9CFFA0000188A6,122380548M,JESUS CARGO PANTS,STONE,M,1K02R,no,2026-09-01 20:01,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9D08400001873B,122330746S,VINCENT PUFFER VEST,KHAKI,S,,no,2026-06-02 18:09,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9D1DF0000187B5,112470311L,DRAKE SHIRT,WHITE,L,1B02C,no,2026-09-01 19:59,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9D2B6000018842,112444611M,LEGENDS T-SHIRT,WHITE,M,,no,2026-09-02 18:29,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9D31C00001876E,112435011M,MORE SHORTS SET,WHITE,M,,no,2026-09-02 18:23,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9D3F000001877D,112540111M,PEACE T-SHIRT,WHITE,M,3B01C,no,2026-09-02 18:23,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9D504000018709,112533507XL,CHECKERS SHORTS SET,BLACK,XL,6A02R,no,2026-09-01 20:14,09-02 17:06
"ALREADY KILLED before this count - count revived it, since restored",F0A0B30E4F9D52C000018751,11250060932,DON JEANS,LIGHT BLUE,32,2B02C,no,2026-09-02 18:28,09-02 17:06
