epc,epc_prefix_8,length,looks_like_carbon_tag,first_scanned,last_seen,source,source_device,bin,location,dismissed,decoded_system_id,system_id_in_catalog,why_it_failed
000031630074416759298644,00003163,24,no,2026-05-30 22:30,2026-06-05 04:26,add_on_count,0e59c1a08cbbcfa9,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
000031636074312269760423,00003163,24,no,2026-05-30 17:18,2026-05-30 17:18,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
000091607113912747400903,00009160,24,no,2026-05-30 17:30,2026-05-30 17:30,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
1A1F3AFE6C59A42A8C605FE9,1A1F3AFE,24,no,2026-05-30 17:34,2026-05-30 17:34,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
1A1F3AFE6C59A45527986BA9,1A1F3AFE,24,no,2026-05-30 17:12,2026-05-30 17:12,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
1A1F3AFE6C59A46E9C0E6824,1A1F3AFE,24,no,2026-05-30 17:12,2026-05-30 17:12,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
1A2F3AFE6C59A41FF9AA71FF,1A2F3AFE,24,no,2026-05-30 22:30,2026-06-05 04:26,add_on_count,0e59c1a08cbbcfa9,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
1A2F3AFE6C59A4740E5E5D9F,1A2F3AFE,24,no,2026-09-02 14:38,2026-09-02 14:38,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
1A4F3AFE6C59A405AD5279CB,1A4F3AFE,24,no,2026-05-30 22:30,2026-06-07 14:55,add_on_count,0e59c1a08cbbcfa9,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
1A4F3AFE6C59A43F1FCA779E,1A4F3AFE,24,no,2026-05-30 17:40,2026-05-30 17:40,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
1A5180AE8299A64B3F345F6D,1A5180AE,24,no,2026-05-30 17:12,2026-05-30 17:12,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
1A5F3AFE6C59A45153E24FA1,1A5F3AFE,24,no,2026-05-30 17:12,2026-05-30 17:12,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
1A6F3AFE6C59A45F1D9474D1,1A6F3AFE,24,no,2026-05-30 22:30,2026-06-05 04:26,add_on_count,0e59c1a08cbbcfa9,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
1A6F3AFE6C59A46D19506F16,1A6F3AFE,24,no,2026-05-30 17:12,2026-05-30 17:12,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
1A7F3AFE6C59A41A22F60785,1A7F3AFE,24,no,2026-05-30 17:12,2026-05-30 17:12,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
1A7F3AFE6C59A425B632717D,1A7F3AFE,24,no,2026-05-30 17:14,2026-05-30 17:14,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
1A7F3AFE6C59A433EF0452F8,1A7F3AFE,24,no,2026-05-30 22:30,2026-06-05 04:26,add_on_count,0e59c1a08cbbcfa9,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
1A7F3AFE6C59A433EF045E32,1A7F3AFE,24,no,2026-05-30 17:13,2026-05-30 17:13,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
1A8180AE8299A6230F707707,1A8180AE,24,no,2026-05-30 17:15,2026-05-30 17:15,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
1A8180AE8299A65742306BD4,1A8180AE,24,no,2026-05-30 22:30,2026-06-07 14:55,add_on_count,0e59c1a08cbbcfa9,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
1BF11190C668989461943895,1BF11190,24,no,2026-05-30 17:12,2026-05-30 17:12,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
30129CBFD880004000002692,30129CBF,24,no,2026-05-30 17:12,2026-06-05 04:26,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
303404C6C420082382526041,303404C6,24,no,2026-05-30 22:30,2026-06-07 14:55,add_on_count,0e59c1a08cbbcfa9,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
C11171067023318606927812,C1117106,24,no,2026-05-30 17:36,2026-06-05 04:26,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
C12611602113914464426704,C1261160,24,no,2026-05-30 22:30,2026-06-05 04:26,add_on_count,0e59c1a08cbbcfa9,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
C21631634E84517625094453,C2163163,24,no,2026-05-30 17:13,2026-05-30 17:13,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
C21701633013812622353533,C2170163,24,no,2026-05-30 17:13,2026-05-30 17:13,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
C21701633014011344493303,C2170163,24,no,2026-05-30 22:30,2026-06-07 14:55,add_on_count,0e59c1a08cbbcfa9,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
C21701633014210352671853,C2170163,24,no,2026-05-30 17:14,2026-05-30 17:14,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
C21701633014310843070913,C2170163,24,no,2026-05-30 17:12,2026-05-30 17:12,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
C21701633014410606517706,C2170163,24,no,2026-05-30 17:13,2026-05-30 17:13,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
C21701633014418150840724,C2170163,24,no,2026-05-30 17:12,2026-05-30 17:12,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
C21701633073611486873132,C2170163,24,no,2026-05-30 17:12,2026-06-07 14:55,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
C21701633074011281407026,C2170163,24,no,2026-05-30 17:12,2026-05-30 17:12,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
C21701633074016935410295,C2170163,24,no,2026-05-30 22:30,2026-06-07 14:55,add_on_count,0e59c1a08cbbcfa9,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
C21701633074118474879399,C2170163,24,no,2026-05-30 17:12,2026-05-30 17:12,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
C21701633113619037590987,C2170163,24,no,2026-05-30 17:12,2026-05-30 17:12,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
C21701633483715127533733,C2170163,24,no,2026-05-30 17:12,2026-05-30 17:12,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
C21701633484313401631339,C2170163,24,no,2026-05-30 17:12,2026-05-30 17:12,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
C21701633484317817969792,C2170163,24,no,2026-05-30 17:13,2026-05-30 17:13,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
E2801191A5040077F48F2C05,E2801191,24,no,2026-06-01 14:19,2026-06-01 14:19,transfer,,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
E28068940000401ABAB1956D,E2806894,24,no,2026-05-30 17:12,2026-05-30 17:12,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
E280689400005019E761ED3C,E2806894,24,no,2026-05-30 17:12,2026-05-30 17:12,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
E280689400005019E761ED41,E2806894,24,no,2026-05-30 17:15,2026-05-30 17:15,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
E28068940000501ABAB1916D,E2806894,24,no,2026-05-30 17:12,2026-05-30 17:12,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
F0A021531113812183862443,F0A02153,24,no,2026-05-30 17:12,2026-06-07 14:55,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
F0A071080113317875327698,F0A07108,24,no,2026-05-30 17:12,2026-05-30 17:12,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
F0A071213020214956716404,F0A07121,24,no,2026-05-30 17:12,2026-05-30 17:12,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
F0A071325C20118172817475,F0A07132,24,no,2026-05-30 17:12,2026-05-30 17:12,cycle_count,cycle-count-live,,Orlando Warehouse,no,,,FOREIGN TAG - does not match the F0A0B formula
F0A0B00001127DB000018768,F0A0B000,24,no,2026-05-30 22:30,2026-09-02 17:06,add_on_count,0e59c1a08cbbcfa9,,Orlando Warehouse,no,1124315,no,CARBON TAG - system_id not in catalog
F0A0B00001127DB00001895A,F0A0B000,24,no,2026-05-30 22:30,2026-06-07 14:55,add_on_count,0e59c1a08cbbcfa9,,Orlando Warehouse,no,1124315,no,CARBON TAG - system_id not in catalog
F0A0B00001127DB00001895B,F0A0B000,24,no,2026-05-30 22:30,2026-06-07 14:55,add_on_count,0e59c1a08cbbcfa9,,Orlando Warehouse,no,1124315,no,CARBON TAG - system_id not in catalog
F0A0B000011283F00001894F,F0A0B000,24,no,2026-05-30 22:30,2026-06-05 04:26,add_on_count,0e59c1a08cbbcfa9,,Orlando Warehouse,no,1124415,no,CARBON TAG - system_id not in catalog
F0A0B000011283F000018953,F0A0B000,24,no,2026-05-30 17:12,2026-05-30 17:12,cycle_count,cycle-count-live,,Orlando Warehouse,no,1124415,no,CARBON TAG - system_id not in catalog
F0A0B30E0000112146494514,F0A0B30E,24,yes,2026-05-30 22:30,2026-09-02 17:06,add_on_count,0e59c1a08cbbcfa9,,Orlando Warehouse,no,209916526866,no,CARBON TAG - system_id not in catalog
F0A0B30E0000112755676232,F0A0B30E,24,yes,2026-05-30 22:30,2026-09-02 17:06,add_on_count,0e59c1a08cbbcfa9,,Orlando Warehouse,no,209916526866,no,CARBON TAG - system_id not in catalog
F0A0B30E0000112883933481,F0A0B30E,24,yes,2026-05-30 17:12,2026-05-30 17:12,cycle_count,cycle-count-live,,Orlando Warehouse,no,209916526866,no,CARBON TAG - system_id not in catalog
F0A0B30E0000118458376183,F0A0B30E,24,yes,2026-06-07 14:55,2026-09-02 17:06,add_on_count,0becfb9eba1e4f18,,Orlando Warehouse,no,209916526872,no,CARBON TAG - system_id not in catalog
F0A0B30E0113011354321246,F0A0B30E,24,yes,2026-05-30 17:12,2026-05-30 17:12,cycle_count,cycle-count-live,,Orlando Warehouse,no,209917653009,no,CARBON TAG - system_id not in catalog
F0A0B30E0C73013501433486,F0A0B30E,24,yes,2026-05-30 17:12,2026-05-30 17:12,cycle_count,cycle-count-live,,Orlando Warehouse,no,209929580563,no,CARBON TAG - system_id not in catalog
F0A0B30E1071114812811393,F0A0B30E,24,yes,2026-05-30 22:30,2026-09-02 17:06,add_on_count,0e59c1a08cbbcfa9,,Orlando Warehouse,no,209933766932,no,CARBON TAG - system_id not in catalog
F0A0B30E1B13810731743254,F0A0B30E,24,yes,2026-05-30 17:15,2026-05-30 17:15,cycle_count,cycle-count-live,,Orlando Warehouse,no,209944918032,no,CARBON TAG - system_id not in catalog
