epc,found,sku,item_name,color,size,checked_at_iso
F0A0B30E4F9CA1B000013428,found,112220507XXXL,STRINGER PRIDE TANK TOP,BLACK,XXXL,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C7B9000013269,not_found,112220511L,STRINGER PRIDE TANK TOP,WHITE,L,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C7B8000013288,found,112220511M,STRINGER PRIDE TANK TOP,WHITE,M,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C7BA00001322D,found,112220511XL,STRINGER PRIDE TANK TOP,WHITE,XL,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C7BA000013242,found,112220511XL,STRINGER PRIDE TANK TOP,WHITE,XL,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C7BA000013244,found,112220511XL,STRINGER PRIDE TANK TOP,WHITE,XL,2026-06-07T21:15:45.555693Z
F0A0B30E4F9CDB80000136D6,found,11230020936,GRIFFIN JEANS,LIGHT BLUE,36,2026-06-07T21:15:45.555693Z
F0A0B30E4F9CD1D000018815,not_found,112321004L,TEXTURE TOP,GREY,L,2026-06-07T21:15:45.555693Z
F0A0B30E4F9CCA300001888B,found,11233010234,OWEN DENIM SHORTS,BLUE,34,2026-06-07T21:15:45.555693Z
F0A0B30E4F9CCAA000018922,found,1123308C434,DAVID DENIM SHORTS,GREY WASHED,34,2026-06-07T21:15:45.555693Z
F0A0B30E4F9CCAA00001892C,found,1123308C434,DAVID DENIM SHORTS,GREY WASHED,34,2026-06-07T21:15:45.555693Z
F0A0B30E4F9CF010000188CA,found,112344510M,DAVID SHIRT,YELLOW,M,2026-06-07T21:15:45.555693Z
F0A0B30E4F9CE67000018997,found,112382619M,SEAN PANTS,CREAM,M,2026-06-07T21:15:45.555693Z
F0A0B30E4F9D2BB000018934,found,1124438B8L,FADE AWAY T-SHIRT,BURGUNDY,L,2026-06-07T21:15:45.555693Z
F0A0B30E4F9D53700001878F,not_found,11250020733,DEREK JEANS,BLACK,33,2026-06-07T21:15:45.555693Z
F0A0B30E4F9D5BC00001895F,not_found,112544002XL,MCLAREN T-SHIRT,BLUE,XL,2026-06-07T21:15:45.555693Z
F0A0B30E4F9D58A000018776,found,112544107M,TARGET HIGH T-SHIRT,BLACK,M,2026-06-07T21:15:45.555693Z
F0A0B30E4F9D58A000018779,found,112544107M,TARGET HIGH T-SHIRT,BLACK,M,2026-06-07T21:15:45.555693Z
F0A0B30E4F9D58A00001877A,found,112544107M,TARGET HIGH T-SHIRT,BLACK,M,2026-06-07T21:15:45.555693Z
F0A0B30E4F9D58A00001877B,found,112544107M,TARGET HIGH T-SHIRT,BLACK,M,2026-06-07T21:15:45.555693Z
F0A0B30E4F9D58A00001877C,found,112544107M,TARGET HIGH T-SHIRT,BLACK,M,2026-06-07T21:15:45.555693Z
F0A0B30E4F9D5AE0000188FB,found,112544502L,BERT T-SHIRT,BLUE,L,2026-06-07T21:15:45.555693Z
F0A0B30E4F9D5940000187EE,found,112544502M,BERT T-SHIRT,BLUE,M,2026-06-07T21:15:45.555693Z
F0A0B30E4F9D57A0000186EF,found,112544502S,BERT T-SHIRT,BLUE,S,2026-06-07T21:15:45.555693Z
F0A0B30E4F9D5B3000018919,found,112544603L,ANGELS T-SHIRT,GREEN,L,2026-06-07T21:15:45.555693Z
F0A0B30E4F9D59900001882D,found,112544603M,ANGELS T-SHIRT,GREEN,M,2026-06-07T21:15:45.555693Z
F0A0B30E4F9D69100004A574,not_found,112545605XL,CREW T-SHIRT,BROWN,XL,2026-06-07T21:15:45.555693Z
F0A0B30E4F9D69100005E979,not_found,112545605XL,CREW T-SHIRT,BROWN,XL,2026-06-07T21:15:45.555693Z
F0A0B30E4F9D67C00001883A,not_found,112545935L,GOTHIC T-SHIRT SET,BEIGE,L,2026-06-07T21:15:45.555693Z
F0A0B30E4F9D61200001885F,found,112570411XL,MYKEL SHIRT,WHITE,XL,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8E8000018954,found,12220641131,ELLIOTT JEANS,WHITE,31,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8F8000018B76,found,12220641132,ELLIOTT JEANS,WHITE,32,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8F8000018B77,found,12220641132,ELLIOTT JEANS,WHITE,32,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C908000018DA4,found,12220641133,ELLIOTT JEANS,WHITE,33,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C908000018DA5,found,12220641133,ELLIOTT JEANS,WHITE,33,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C908000018DAE,found,12220641133,ELLIOTT JEANS,WHITE,33,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C908000018DC1,found,12220641133,ELLIOTT JEANS,WHITE,33,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8EA00001898E,found,1222066C231,TRISTAN JEANS,BLUE WASHED,31,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8EA00001899E,found,1222066C231,TRISTAN JEANS,BLUE WASHED,31,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8EA0000189A1,found,1222066C231,TRISTAN JEANS,BLUE WASHED,31,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8EA0000189A3,found,1222066C231,TRISTAN JEANS,BLUE WASHED,31,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8EA0000189A4,found,1222066C231,TRISTAN JEANS,BLUE WASHED,31,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8EA0000189A5,found,1222066C231,TRISTAN JEANS,BLUE WASHED,31,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8EA0000189A7,found,1222066C231,TRISTAN JEANS,BLUE WASHED,31,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8EA0000189A9,found,1222066C231,TRISTAN JEANS,BLUE WASHED,31,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8EA0000189AC,found,1222066C231,TRISTAN JEANS,BLUE WASHED,31,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8FA000018BBE,found,1222066C232,TRISTAN JEANS,BLUE WASHED,32,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8FA000018BCE,found,1222066C232,TRISTAN JEANS,BLUE WASHED,32,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C90A000018DEF,found,1222066C233,TRISTAN JEANS,BLUE WASHED,33,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C90A000018DF3,found,1222066C233,TRISTAN JEANS,BLUE WASHED,33,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C90A000018DF4,found,1222066C233,TRISTAN JEANS,BLUE WASHED,33,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C90A000018E0A,found,1222066C233,TRISTAN JEANS,BLUE WASHED,33,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C93A00001921F,found,1222066C238,TRISTAN JEANS,BLUE WASHED,38,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8FB000018BE4,found,1222067C232,BECKHAM JEANS,BLUE WASHED,32,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8FB000018BF2,found,1222067C232,BECKHAM JEANS,BLUE WASHED,32,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8DC00001884D,found,1222068A730,MARCUS JEANS,DARK BLUE,30,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8DC00001884E,found,1222068A730,MARCUS JEANS,DARK BLUE,30,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8EC0000189D1,found,1222068A731,MARCUS JEANS,DARK BLUE,31,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8EC0000189D3,found,1222068A731,MARCUS JEANS,DARK BLUE,31,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8EC0000189D4,found,1222068A731,MARCUS JEANS,DARK BLUE,31,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8EC0000189D7,found,1222068A731,MARCUS JEANS,DARK BLUE,31,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8EC0000189D8,found,1222068A731,MARCUS JEANS,DARK BLUE,31,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8EC0000189E1,found,1222068A731,MARCUS JEANS,DARK BLUE,31,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8EC0000189E4,found,1222068A731,MARCUS JEANS,DARK BLUE,31,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8EC0000189E5,found,1222068A731,MARCUS JEANS,DARK BLUE,31,2026-06-07T21:15:45.555693Z
F0A0B30E4F9C8EC0000189E7,found,1222068A731,MARCUS JEANS,DARK BLUE,31,2026-06-07T21:15:45.555693Z
